"CodigocompletoDane","MPIO","ano","poblacion","codigoanodane","cienmilhabitantes"
"5001000","Medellín","2005",2214494,"20055001000",2.214494
"5002000","Abejorral","2005",20249,"20055002000",0.020249
"5004000","Abriaquí","2005",2690,"20055004000",0.00269
"5021000","Alejandría","2005",3816,"20055021000",0.003816
"5030000","Amagá","2005",27155,"20055030000",0.027155
"5031000","Amalfi","2005",20525,"20055031000",0.020525
"5034000","Andes","2005",41591,"20055034000",0.041591
"5036000","Angelópolis","2005",7641,"20055036000",0.007641
"5038000","Angostura","2005",12519,"20055038000",0.012519
"5040000","Anorí","2005",15016,"20055040000",0.015016
"5042000","Santafé de Antioquia","2005",22903,"20055042000",0.022903
"5044000","Anza","2005",7415,"20055044000",0.007415
"5045000","Apartadó","2005",131405,"20055045000",0.131405
"5051000","Arboletes","2005",30738,"20055051000",0.030738
"5055000","Argelia","2005",10091,"20055055000",0.010091
"5059000","Armenia","2005",5196,"20055059000",0.005196
"5079000","Barbosa","2005",42439,"20055079000",0.042439
"5086000","Belmira","2005",6188,"20055086000",0.006188
"5088000","Bello","2005",371591,"20055088000",0.371591
"5091000","Betania","2005",10246,"20055091000",0.010246
"5093000","Betulia","2005",16725,"20055093000",0.016725
"5101000","Ciudad Bolívar","2005",28279,"20055101000",0.028279
"5107000","Briceño","2005",8783,"20055107000",0.008783
"5113000","Buriticá","2005",6955,"20055113000",0.006955
"5120000","Cáceres","2005",28945,"20055120000",0.028945
"5125000","Caicedo","2005",7686,"20055125000",0.007686
"5129000","Caldas","2005",67999,"20055129000",0.067999
"5134000","Campamento","2005",9688,"20055134000",0.009688
"5138000","Cañasgordas","2005",16816,"20055138000",0.016816
"5142000","Caracolí","2005",4855,"20055142000",0.004855
"5145000","Caramanta","2005",5510,"20055145000",0.00551
"5147000","Carepa","2005",43125,"20055147000",0.043125
"5148000","El Carmen de Viboral","2005",41012,"20055148000",0.041012
"5150000","Carolina","2005",3971,"20055150000",0.003971
"5154000","Caucasia","2005",87532,"20055154000",0.087532
"5172000","Chigorodó","2005",58911,"20055172000",0.058911
"5190000","Cisneros","2005",9682,"20055190000",0.009682
"5197000","Cocorná","2005",15119,"20055197000",0.015119
"5206000","Concepción","2005",4509,"20055206000",0.004509
"5209000","Concordia","2005",21420,"20055209000",0.02142
"5212000","Copacabana","2005",61234,"20055212000",0.061234
"5234000","Dabeiba","2005",24084,"20055234000",0.024084
"5237000","Don Matías","2005",17701,"20055237000",0.017701
"5240000","Ebéjico","2005",12511,"20055240000",0.012511
"5250000","El Bagre","2005",46020,"20055250000",0.04602
"5264000","Entrerrios","2005",8447,"20055264000",0.008447
"5266000","Envigado","2005",174108,"20055266000",0.174108
"5282000","Fredonia","2005",22692,"20055282000",0.022692
"5284000","Frontino","2005",20031,"20055284000",0.020031
"5306000","Giraldo","2005",4188,"20055306000",0.004188
"5308000","Girardota","2005",42566,"20055308000",0.042566
"5310000","Gómez Plata","2005",11252,"20055310000",0.011252
"5313000","Granada","2005",9789,"20055313000",0.009789
"5315000","Guadalupe","2005",6231,"20055315000",0.006231
"5318000","Guarne","2005",39541,"20055318000",0.039541
"5321000","Guatapé","2005",5838,"20055321000",0.005838
"5347000","Heliconia","2005",6656,"20055347000",0.006656
"5353000","Hispania","2005",4821,"20055353000",0.004821
"5360000","Itagui","2005",235016,"20055360000",0.235016
"5361000","Ituango","2005",25088,"20055361000",0.025088
"5364000","Jardín","2005",14433,"20055364000",0.014433
"5368000","Jericó","2005",12789,"20055368000",0.012789
"5376000","La Ceja","2005",46268,"20055376000",0.046268
"5380000","La Estrella","2005",52563,"20055380000",0.052563
"5390000","La Pintada","2005",7066,"20055390000",0.007066
"5400000","La Unión","2005",17842,"20055400000",0.017842
"5411000","Liborina","2005",9475,"20055411000",0.009475
"5425000","Maceo","2005",7630,"20055425000",0.00763
"5440000","Marinilla","2005",45548,"20055440000",0.045548
"5467000","Montebello","2005",7523,"20055467000",0.007523
"5475000","Murindó","2005",3736,"20055475000",0.003736
"5480000","Mutatá","2005",16428,"20055480000",0.016428
"5483000","Nariño","2005",15579,"20055483000",0.015579
"5490000","Necoclí","2005",47989,"20055490000",0.047989
"5495000","Nechí","2005",20668,"20055495000",0.020668
"5501000","Olaya","2005",2916,"20055501000",0.002916
"5541000","Peñol","2005",16241,"20055541000",0.016241
"5543000","Peque","2005",9621,"20055543000",0.009621
"5576000","Pueblorrico","2005",8294,"20055576000",0.008294
"5579000","Puerto Berrío","2005",38953,"20055579000",0.038953
"5585000","Puerto Nare","2005",16690,"20055585000",0.01669
"5591000","Puerto Triunfo","2005",16248,"20055591000",0.016248
"5604000","Remedios","2005",22769,"20055604000",0.022769
"5607000","Retiro","2005",16976,"20055607000",0.016976
"5615000","Rionegro","2005",100502,"20055615000",0.100502
"5628000","Sabanalarga","2005",8193,"20055628000",0.008193
"5631000","Sabaneta","2005",44480,"20055631000",0.04448
"5642000","Salgar","2005",18206,"20055642000",0.018206
"5647000","San Andrés de Cuerquía","2005",7367,"20055647000",0.007367
"5649000","San Carlos","2005",15826,"20055649000",0.015826
"5652000","San Francisco","2005",6395,"20055652000",0.006395
"5656000","San Jerónimo","2005",11627,"20055656000",0.011627
"5658000","San José de La Montaña","2005",3103,"20055658000",0.003103
"5659000","San Juan de Urabá","2005",20899,"20055659000",0.020899
"5660000","San Luis","2005",11009,"20055660000",0.011009
"5664000","San Pedro","2005",22066,"20055664000",0.022066
"5665000","San Pedro de Uraba","2005",28772,"20055665000",0.028772
"5667000","San Rafael","2005",13530,"20055667000",0.01353
"5670000","San Roque","2005",18157,"20055670000",0.018157
"5674000","San Vicente","2005",19438,"20055674000",0.019438
"5679000","Santa Bárbara","2005",23590,"20055679000",0.02359
"5686000","Santa Rosa de Osos","2005",31025,"20055686000",0.031025
"5690000","Santo Domingo","2005",11567,"20055690000",0.011567
"5697000","El Santuario","2005",26287,"20055697000",0.026287
"5736000","Segovia","2005",35071,"20055736000",0.035071
"5756000","Sonson","2005",38779,"20055756000",0.038779
"5761000","Sopetrán","2005",13385,"20055761000",0.013385
